"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 12:15:11 EEST 2022","Thu Oct 27 12:15:14 EEST 2022","2369","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Oct 25 12:39:04 EEST 2022","Tue Oct 25 12:39:07 EEST 2022","2415","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Oct 27 12:15:11 EEST 2022","Thu Oct 27 12:15:14 EEST 2022","2343","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Oct 27 12:04:57 EEST 2022","Thu Oct 27 12:04:59 EEST 2022","2639","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Oct 27 12:04:56 EEST 2022","Thu Oct 27 12:04:58 EEST 2022","2922","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Oct 27 12:04:55 EEST 2022","Thu Oct 27 12:04:58 EEST 2022","2817","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
